text,label
Look up email etiquette tips for professionals.,WebSearch
Search for guides on using GitHub Actions.,WebSearch
Find discounts on online learning platforms.,WebSearch
Search for volunteer opportunities in Delhi.,WebSearch
Look up how to optimize BERT models.,WebSearch
Find recent news about space exploration.,WebSearch
Can you look this up online for me?,WebSearch
Find recent news about the Mars mission.,WebSearch
Search the web for the latest AI trends.,WebSearch
Get me articles about climate change effects.,WebSearch
Look up the symptoms of vitamin D deficiency.,WebSearch
Find tutorials on building a REST API.,WebSearch
Can you check what time the movie starts?,WebSearch
Search for nearby Italian restaurants.,WebSearch
Get the weather forecast for tomorrow in Delhi.,WebSearch
Look up the best laptops under 50k.,WebSearch
Search for scholarship opportunities for CS students.,WebSearch
Find a good blog on productivity tips.,WebSearch
Look into current stock prices of Tesla.,WebSearch
Search for books similar to 'Atomic Habits'.,WebSearch
Find research papers on neural networks.,WebSearch
Search for an alternative to Google Docs.,WebSearch
Can you get the latest cricket match score?,WebSearch
Look up travel restrictions for Canada.,WebSearch
Search for universities offering ML courses.,WebSearch
Find info on how to file taxes online.,WebSearch
Search for recipes using only eggs and cheese.,WebSearch
Get an online Python compiler.,WebSearch
Look up how to clean laptop fans safely.,WebSearch
Find a comparison between GPT-4 and Claude.,WebSearch
Can you search for freelance writing gigs?,WebSearch
Find the latest tech jobs in Bangalore.,WebSearch
Search for recent advancements in robotics.,WebSearch
Get a list of the top 10 sci-fi movies.,WebSearch
Find details about the budget 2025.,WebSearch
Search for vegan protein powder reviews.,WebSearch
Look for open-source project ideas.,WebSearch
Search for famous quotes by Einstein.,WebSearch
Find a tool to convert PDF to Word.,WebSearch
Can you look up YouTube channel analytics tools?,WebSearch
Search how to improve sleep quality.,WebSearch
Look for current COVID-19 guidelines.,WebSearch
Search how to apply for a driving license online.,WebSearch
Find popular tourist attractions in Manali.,WebSearch
Search for methods to boost concentration.,WebSearch
Look up GitHub trending repos today.,WebSearch
Find online certification courses in cloud computing.,WebSearch
Search for easy dessert recipes.,WebSearch
Can you check what’s trending on Twitter?,WebSearch
Look up latest breakthroughs in cancer research.,WebSearch
Search how to write a cover letter for freshers.,WebSearch
Get me the best mobile phone deals today.,WebSearch
Look up upcoming hackathons this month.,WebSearch
Search for productivity extensions for Chrome.,WebSearch
Find examples of professional portfolio websites.,WebSearch
Can you send this email to our Slack channel?,SlackForward
Please forward this message to the #general channel on Slack.,SlackForward
Share this email with the product team on Slack.,SlackForward
Put this on Slack so everyone can see.,SlackForward
Send this conversation to Slack immediately.,SlackForward
Push this email into our marketing Slack group.,SlackForward
Please share this with the Slack engineering group.,SlackForward
Can you notify the team on Slack with this email?,SlackForward
Forward the contents of this email to Slack.,SlackForward
Copy this over to Slack for reference.,SlackForward
Send this message to our project Slack workspace.,SlackForward
Post this email on the Slack updates channel.,SlackForward
Push this to the Slack thread we discussed yesterday.,SlackForward
Drop this into Slack for quick visibility.,SlackForward
Can you put this message in our Slack channel?,SlackForward
Send this over Slack so the design team sees it.,SlackForward
Please share this email in Slack.,SlackForward
Post this email to our shared Slack space.,SlackForward
Put this thread in the Slack team chat.,SlackForward
Share this with #announcements in Slack.,SlackForward
Push this into Slack right away.,SlackForward
Can you copy this email to our Slack discussion?,SlackForward
Forward this email to Slack for everyone to view.,SlackForward
Put this on Slack so the rest of the team can react.,SlackForward
Paste this email in Slack.,SlackForward
Can you notify everyone by posting this to Slack?,SlackForward
Send this message to Slack with a quick note.,SlackForward
Add this email content to Slack please.,SlackForward
Let’s put this message in the Slack thread.,SlackForward
Drop this in Slack for team discussion.,SlackForward
"Send this update to Slack, ASAP.",SlackForward
Share this on Slack under the #urgent channel.,SlackForward
Forward this to Slack and tag the leads.,SlackForward
Upload this email to Slack.,SlackForward
Slack this to the appropriate group.,SlackForward
Push this to Slack and notify the dev team.,SlackForward
Share this message in the team’s Slack workspace.,SlackForward
Include this in the Slack daily updates channel.,SlackForward
Send this on Slack where we track client feedback.,SlackForward
Can you forward this to Slack and mention Sarah?,SlackForward
Broadcast this over Slack.,SlackForward
Post this thread to Slack and get feedback.,SlackForward
Ping Slack with this message for quick replies.,SlackForward
Publish this in Slack for internal visibility.,SlackForward
Send this email straight to Slack.,SlackForward
Add this to Slack for easy access.,SlackForward
Please post this email into Slack for archiving.,SlackForward
Transfer this message to our Slack logs.,SlackForward
Let’s Slack this message to everyone.,SlackForward
Please deliver this content to Slack.,SlackForward
Please forward this message to the team on Slack.,SlackForward
Send this update to the #general channel.,SlackForward
Share these meeting notes on Slack.,SlackForward
Push this reminder to the Slack group.,SlackForward
Send this to the devs via Slack.,SlackForward
Can you post this summary on Slack?,SlackForward
Forward this to the marketing channel.,SlackForward
Drop this message in the #random channel.,SlackForward
Push this to Slack for the design team.,SlackForward
Send this status update to the client group.,SlackForward
Post this announcement on Slack.,SlackForward
Send the weekly report on Slack.,SlackForward
Can you notify the #ops team with this?,SlackForward
Share this email content on Slack.,SlackForward
Forward this deadline extension to the team.,SlackForward
Send a Slack message about this bug.,SlackForward
Push this feature update to Slack.,SlackForward
Drop this in the standup channel.,SlackForward
Please inform the QA team on Slack.,SlackForward
Relay this information to #project-x.,SlackForward
Post this event on the Slack calendar.,SlackForward
Send this user feedback to the support team Slack.,SlackForward
Notify everyone on Slack about the deployment.,SlackForward
Ping the team in Slack with this alert.,SlackForward
Send the revised document link to Slack.,SlackForward
Forward this budget approval to finance Slack.,SlackForward
Post this agenda in the planning channel.,SlackForward
Let the interns know via Slack.,SlackForward
Slack this announcement to all hands.,SlackForward
Send this template through Slack.,SlackForward
Forward this Zoom link to the meeting channel.,SlackForward
Drop the schedule on Slack.,SlackForward
Tell the team on Slack the deadline changed.,SlackForward
Post this bug list to the tech channel.,SlackForward
Send this to @john in Slack.,SlackForward
Slack this to whoever's on shift now.,SlackForward
Can you forward this proposal to Slack?,SlackForward
Share the hiring update with #hr.,SlackForward
Send the project summary to Slack now.,SlackForward
Update Slack with this issue.,SlackForward
Push this checklist to the onboarding group.,SlackForward
Let everyone in Slack know we’re live.,SlackForward
Post this policy update on Slack.,SlackForward
Share this invoice in the finance channel.,SlackForward
Update Slack with this lead’s info.,SlackForward
Ping the design team on Slack with this idea.,SlackForward
Share this GitHub link on Slack.,SlackForward
Notify @managers about this situation in Slack.,SlackForward
Send the report to Slack before 6PM.,SlackForward
Please post this article to #learning.,SlackForward
Can we set up a meeting to discuss the quarterly results?,SceduledEvent
Please schedule a meeting with the product team next week.,SceduledEvent
Let's arrange a call with the client tomorrow at 3 PM.,SceduledEvent
Add our weekly sync-up to the calendar.,SceduledEvent
Book a room for the Friday strategy meeting.,SceduledEvent
I’d like to organize a session for the roadmap review.,SceduledEvent
Please block some time on my calendar for the HR interview.,SceduledEvent
Let’s fix a time to go over the proposal.,SceduledEvent
Schedule a Zoom call for the design presentation.,SceduledEvent
Mark your calendar for a team briefing on Monday.,SceduledEvent
I want to set up a meeting with the stakeholders.,SceduledEvent
Add a meeting on Thursday to discuss campaign performance.,SceduledEvent
Could you please schedule our sprint planning session?,SceduledEvent
Set up a catch-up meeting with R&D team next Tuesday.,SceduledEvent
I want to arrange a demo session this Friday.,SceduledEvent
Put the tech review in the calendar for 2 PM.,SceduledEvent
Let's schedule a one-on-one this week.,SceduledEvent
Reserve time for a retrospective on Wednesday.,SceduledEvent
Please create a calendar event for the user feedback review.,SceduledEvent
I need a meeting on Friday to go through the updated deck.,SceduledEvent
Add a call with the marketing head to the calendar.,SceduledEvent
Can you fix a meeting slot for our partnership talk?,SceduledEvent
Schedule a recurring sync-up with the dev team.,SceduledEvent
Set a calendar invite for the new hire orientation.,SceduledEvent
Block 30 minutes for the financial review.,SceduledEvent
Arrange a call with the legal team regarding the NDA.,SceduledEvent
Let’s finalize a time for the roadmap discussion.,SceduledEvent
Please schedule the monthly progress review.,SceduledEvent
Add a calendar reminder for the upcoming product launch.,SceduledEvent
Plan a session on Monday for the budget discussion.,SceduledEvent
Fix a slot for our quarterly strategy review.,SceduledEvent
Can you schedule our client onboarding meeting?,SceduledEvent
Let's organize a team catch-up next Friday.,SceduledEvent
Set up a session to talk about OKRs.,SceduledEvent
Book a time with Alex to review the project timeline.,SceduledEvent
Add our training workshop to the calendar.,SceduledEvent
Create an event for the team lunch tomorrow.,SceduledEvent
I want to have a quick sync with the QA team.,SceduledEvent
Schedule a planning call with the vendors.,SceduledEvent
Add the conference call to everyone's calendar.,SceduledEvent
Block some time for the UI/UX feedback session.,SceduledEvent
Let’s plan our team offsite meeting.,SceduledEvent
Mark the review call for Thursday at 5 PM.,SceduledEvent
Arrange a weekly review meeting with sales.,SceduledEvent
Put our monthly standup in the calendar.,SceduledEvent
Set up a time to discuss the bug backlog.,SceduledEvent
Book an hour with design team for the prototype discussion.,SceduledEvent
Add a follow-up meeting for the support case.,SceduledEvent
Let's meet on Wednesday to align on priorities.,SceduledEvent
Please arrange the board meeting for next month.,SceduledEvent
Schedule the kickoff meeting for our new project.,SceduledEvent
Create a calendar invite for the demo walkthrough.,SceduledEvent
Put a discussion slot for investor feedback.,SceduledEvent
Schedule a meeting with the design team for next Wednesday at 2 PM.,SceduledEvent
Add a calendar event for the client call on Friday morning.,SceduledEvent
Set up a Zoom call with the HR team on Monday at 11 AM.,SceduledEvent
Book a meeting with the supplier regarding the new shipment.,SceduledEvent
Remind me about the budget review session next Thursday.,SceduledEvent
Create an event for the performance evaluation meeting.,SceduledEvent
Block time on my calendar for the marketing sync-up.,SceduledEvent
Plan a team stand-up for tomorrow morning.,SceduledEvent
Add a reminder for the legal consultation on the 10th.,SceduledEvent
Organize a catch-up with the interns on Friday.,SceduledEvent
Fix a call with the CEO next week.,SceduledEvent
Please put the team meeting on my schedule at 3 PM today.,SceduledEvent
Can you book a room for our brainstorming session at 5?,SceduledEvent
Set up a calendar entry for the code review with the developers.,SceduledEvent
Schedule a follow-up meeting with the stakeholders.,SceduledEvent
Add the product launch event to the calendar.,SceduledEvent
Arrange a one-on-one meeting with my manager.,SceduledEvent
Put the financial planning discussion on Friday's schedule.,SceduledEvent
Set a reminder for tomorrow's townhall at 4 PM.,SceduledEvent
Book a session to review the quarterly targets.,SceduledEvent
Block my calendar for a feedback meeting with the client.,SceduledEvent
Plan a catch-up call for project status updates.,SceduledEvent
Add a strategic planning meeting on next Monday.,SceduledEvent
Create an event for onboarding new employees.,SceduledEvent
Schedule a check-in with the project lead every Tuesday.,SceduledEvent
Organize a session to discuss the updated roadmap.,SceduledEvent
Set a Google Meet event for the UX review.,SceduledEvent
Arrange an interview with the data scientist candidate.,SceduledEvent
Schedule a meeting to finalize the hiring process.,SceduledEvent
Block time for a retrospective after the sprint ends.,SceduledEvent
Add the weekly sync call with the vendors.,SceduledEvent
Put the compliance audit meeting on my calendar.,SceduledEvent
Plan the OKR alignment session next week.,SceduledEvent
Set a call with the external consultant tomorrow.,SceduledEvent
Schedule a discussion on the customer feedback report.,SceduledEvent
Book a time for evaluating our Q2 goals.,SceduledEvent
Create a recurring meeting for every Friday team check-in.,SceduledEvent
Add a session for training the new joiners.,SceduledEvent
Fix a meeting to go over the invoice issues.,SceduledEvent
Schedule the collaboration session with the design and dev team.,SceduledEvent
Plan a roadmap review with leadership.,SceduledEvent
Put a calendar reminder for the merger announcement meeting.,SceduledEvent
Add an event for the new software onboarding demo.,SceduledEvent
Set up a planning meeting for the next sprint.,SceduledEvent
Create a calendar entry for reviewing this quarter's analytics.,SceduledEvent
Organize a workshop on effective communication skills.,SceduledEvent
Book a meeting room for the client presentation.,SceduledEvent
Add an event to discuss the website redesign plan.,SceduledEvent
Schedule the quarterly all-hands meeting.,SceduledEvent
Block a slot for a follow-up on the legal case.,SceduledEvent
Plan a knowledge transfer session with outgoing staff.,SceduledEvent
Thank you for reaching out. I’ll get back to you shortly.,AutomatedReply
I’ve received your message and will reply soon.,AutomatedReply
Appreciate your email. I’ll respond as soon as I can.,AutomatedReply
Thanks for the update. I’ll look into it.,AutomatedReply
Got it. I’ll get back to you with the details.,AutomatedReply
I’m currently away from my desk but will respond soon.,AutomatedReply
Thanks for letting me know. I’ll check and reply.,AutomatedReply
I’ll review the document and share my thoughts shortly.,AutomatedReply
"Noted, I’ll follow up on this.",AutomatedReply
Thanks for your patience. I’ll respond soon.,AutomatedReply
I’ve seen your email. Will reply after my meeting.,AutomatedReply
I’m on it and will update you soon.,AutomatedReply
Thanks for the heads-up. I’ll look into it today.,AutomatedReply
Appreciate the reminder. I’ll handle it.,AutomatedReply
I’ll get back to you once I review this.,AutomatedReply
Noted. Will take care of it.,AutomatedReply
Thanks. I’ll get back with a response shortly.,AutomatedReply
Your email has been received. I’ll get back to you.,AutomatedReply
Will respond with more info soon.,AutomatedReply
I’ve noted your message. Will reply after reviewing.,AutomatedReply
Thanks for reaching out. I’ll respond after checking.,AutomatedReply
Understood. I’ll take a look and reply.,AutomatedReply
Got your email. I’ll share my thoughts soon.,AutomatedReply
"Thanks, I’ll provide feedback shortly.",AutomatedReply
Received. I’ll follow up soon.,AutomatedReply
I’ll reply after confirming the details.,AutomatedReply
Appreciate the message. Will revert shortly.,AutomatedReply
I’m reviewing this and will respond soon.,AutomatedReply
I’ll revert once I check the calendar.,AutomatedReply
"Noted, thanks. I’ll respond shortly.",AutomatedReply
Got it. Let me look into it and reply.,AutomatedReply
I’m working on it and will respond soon.,AutomatedReply
I’ll be in touch shortly with my response.,AutomatedReply
"Thanks, I’ll update you by EOD.",AutomatedReply
Received and acknowledged. Will respond.,AutomatedReply
I’ll share an update once it’s done.,AutomatedReply
Will do. I’ll confirm in a bit.,AutomatedReply
Let me get back to you on this.,AutomatedReply
I’ll respond after discussing with the team.,AutomatedReply
I’ll check with the manager and get back.,AutomatedReply
Got your query. I’ll reply once I have the answer.,AutomatedReply
I’ll respond after some clarification.,AutomatedReply
"Thanks, I’ll circle back with details.",AutomatedReply
Message received. Will follow up shortly.,AutomatedReply
I’ve taken note. Expect my response soon.,AutomatedReply
Thanks. Let me confirm and reply.,AutomatedReply
Will revert to you after analyzing.,AutomatedReply
"Thanks, I’ll get back after reviewing.",AutomatedReply
I’m reviewing it and will respond ASAP.,AutomatedReply
I’ve received the request. Will follow up soon.,AutomatedReply
I’ll address this and reply soon.,AutomatedReply
Thank you for your email. I will get back to you shortly.,AutomatedReply
I appreciate your message. I’ll respond soon.,AutomatedReply
Received your email. I will review it and reply shortly.,AutomatedReply
Thanks for reaching out. I'll follow up soon.,AutomatedReply
I’ve got your email and will respond as soon as I can.,AutomatedReply
Thank you for the information. I’ll get back to you.,AutomatedReply
Your message has been received. I’ll reply shortly.,AutomatedReply
I appreciate your email. Expect a response soon.,AutomatedReply
Thanks! I’ll take a look and reply soon.,AutomatedReply
I’ll respond to your query shortly. Thank you.,AutomatedReply
Thanks for the update. I’ll review it and reply.,AutomatedReply
Got your message. I’ll check and get back to you.,AutomatedReply
I’m currently reviewing your request. Will reply soon.,AutomatedReply
Thanks for the details. I’ll respond after reviewing.,AutomatedReply
Thanks! I’ll respond after going through the email.,AutomatedReply
I’m currently busy but will reply shortly.,AutomatedReply
Received your email. Will respond once I have more info.,AutomatedReply
Thanks for contacting me. I’ll get back to you soon.,AutomatedReply
I appreciate your patience. I’ll reply shortly.,AutomatedReply
Got it! I’ll respond with more info soon.,AutomatedReply
Thank you for your patience. I’ll reply soon.,AutomatedReply
I will get back to you after checking with the team.,AutomatedReply
Thanks for the heads up. Replying soon.,AutomatedReply
Thanks. Let me look into it and I’ll reply.,AutomatedReply
I’ve noted your message. I’ll respond soon.,AutomatedReply
Thanks for the quick update. I’ll follow up shortly.,AutomatedReply
I’ve seen your request. I’ll reply after reviewing it.,AutomatedReply
Appreciate the info. I’ll get back to you soon.,AutomatedReply
Thanks for the clarification. Replying soon.,AutomatedReply
Understood. I’ll respond once I confirm a few things.,AutomatedReply
Got your point. I’ll respond after verifying.,AutomatedReply
Your message is being reviewed. I’ll reply shortly.,AutomatedReply
Thanks. I’ll check and let you know soon.,AutomatedReply
I’ll respond soon after going through the attachments.,AutomatedReply
Thanks for reaching out. Please expect a reply soon.,AutomatedReply
I’m on it. I’ll send you a reply shortly.,AutomatedReply
Thank you for your patience. Working on a reply.,AutomatedReply
Got your email. Crafting a response now.,AutomatedReply
I will reply to this as soon as I finish my current task.,AutomatedReply
Thanks. I’ll respond once I verify with the client.,AutomatedReply
Your message has been acknowledged. Replying soon.,AutomatedReply
I’m working on it. Will respond soon.,AutomatedReply
I will get back to you after checking my schedule.,AutomatedReply
Thanks. I’ll get back after discussing internally.,AutomatedReply
I appreciate your follow-up. Replying soon.,AutomatedReply
I’ll send a detailed response shortly. Thanks.,AutomatedReply
I’m looking into this. Expect a reply soon.,AutomatedReply
Reviewing your request. Will respond soon.,AutomatedReply
I’ve read your email. I’ll reply when I’m free.,AutomatedReply
Thanks. I’ll reply once I confirm the next steps.,AutomatedReply
"I’m on the move right now, will reply soon.",AutomatedReply
Hope you're doing well!,Others
Just checking in to see how things are going.,Others
Let me know if you need anything from my side.,Others
Have a great weekend!,Others
Please disregard my previous message.,Others
Following up on our earlier chat.,Others
This email is just to say hello!,Others
Wishing you the best in your new role!,Others
Thanks for the quick chat earlier.,Others
Let's catch up sometime soon.,Others
I'll be offline for the rest of the day.,Others
Just wanted to share a quick update.,Others
Sending you best wishes.,Others
Let me know your thoughts when you can.,Others
Looking forward to hearing from you.,Others
"No action needed, just keeping you informed.",Others
"Take your time, no rush.",Others
Thanks again for everything!,Others
I appreciate your continued support.,Others
This is just an FYI email.,Others
Feel free to ignore this if it's not relevant.,Others
Sharing this in case it's useful.,Others
Congratulations on your achievement!,Others
Happy to connect anytime.,Others
Hope everything is going great on your end.,Others
